Variable,CSV_Field,N,Mean,SD,Min,Median,Max,Skewness,Kurtosis,Prop_1
Engagement (raw),engagement,766,45.1723,203.1849,0.0,4.0,2474.0,7.6727,66.6413,
log(1+Engagement),log_engagement,766,1.942,1.5718,0.0,1.6094,7.814,1.001,1.0131,
Text Length,length,766,23.453,12.257,0.0,22.0,53.0,0.2394,-0.9865,
Question Mark (dummy),question,766,0.1671,0.3733,0.0,0.0,1.0,1.7847,1.185,0.1671
Emotional Valence,valence,766,0.7894,1.5279,-3.3519,0.0,3.9483,0.3705,0.0972,
Hashtag Count,hashtag,766,0.1449,0.489,0.0,0.0,3.0,3.8167,15.1753,
Picture Count,picture,766,0.3094,0.5235,0.0,0.0,4.0,1.8751,5.9382,
URL Count,url,766,0.9191,0.7186,0.0,1.0,2.0,0.121,-1.0579,
At-Mention Count,at_mention,766,0.0966,0.3558,0.0,0.0,3.0,4.2755,20.977,
Emoji Count,emoji,766,0.3982,0.8838,0.0,0.0,13.0,5.2614,56.0375,
