obs,id,like,comment,share,engagement,log_engage,length,question,valence,hashtag,picture,url,at_mention,emoji
1,132870,16,38,4,58,4.07753744390572,37,0,3.9483,0,2,2,0,0
2,132871,18,56,5,79,4.382026634673881,32,0,3.010333333333334,0,2,2,0,0
3,132872,33,240,13,286,5.659482215759621,13,1,0.0,0,1,1,0,2
4,132873,5,20,4,29,3.4011973816621555,21,0,-1.4643,0,0,1,0,0
5,132874,7,18,3,28,3.367295829986474,33,0,0.0,0,1,2,0,0
6,132875,22,43,6,71,4.276666119016055,19,1,3.9483,0,1,1,0,1
7,132876,7,17,5,29,3.4011973816621555,31,0,0.7000000000000002,0,2,2,0,0
8,132877,8,16,4,28,3.367295829986474,25,0,3.423,0,1,2,0,1
9,132878,15,22,4,41,3.7376696182833684,23,0,0.0,0,1,1,0,1
10,132879,8,22,4,34,3.5553480614894135,27,0,0.0,2,0,2,0,0
11,132880,18,28,5,51,3.9512437185814275,38,0,3.1207,0,1,2,0,1
12,132881,19,29,3,51,3.9512437185814275,7,0,0.0,0,0,1,0,0
13,132882,8,13,3,24,3.2188758248682006,21,0,2.42,0,1,1,0,1
14,132883,8,21,4,33,3.5263605246161616,29,0,2.9643,0,1,1,0,1
15,132884,11,39,3,53,3.9889840465642745,22,1,2.38,2,1,1,2,1
16,132885,3,8,3,14,2.70805020110221,29,0,2.9643,0,1,1,0,1
17,132886,5,20,2,27,3.332204510175204,12,0,0.0,0,0,2,0,0
18,132887,2,13,2,17,2.8903717578961645,6,1,0.0,0,0,0,0,0
19,132888,5,12,2,19,2.995732273553991,31,0,3.9483,0,2,2,0,1
20,132889,0,1,1,2,1.0986122886681098,42,0,3.0374,0,2,2,0,3
21,132890,7,28,2,37,3.6375861597263857,39,1,2.9027,1,0,0,2,3
22,132891,6,9,2,17,2.8903717578961645,35,1,0.0,0,2,2,0,1
23,132892,5,10,2,17,2.8903717578961645,39,0,3.20415,0,1,2,0,0
24,132893,1,2,1,4,1.6094379124341003,15,0,0.0,0,1,1,0,2
25,132894,9,19,2,30,3.4339872044851463,39,0,3.4677,1,1,1,0,3
26,132895,3,6,2,11,2.4849066497880004,15,1,3.9483,0,0,1,0,1
27,132896,7,7,4,18,2.9444389791664403,31,0,0.0,0,1,2,0,3
28,132897,0,1,1,2,1.0986122886681098,38,0,0.7000000000000002,0,1,2,0,1
29,132898,16,19,3,38,3.6635616461296463,30,0,3.9063,1,0,0,0,3
30,132899,8,7,2,17,2.8903717578961645,29,0,2.38,0,1,2,0,1
31,132900,10,10,3,23,3.1780538303479458,35,0,0.0,0,1,2,0,1
32,132901,12,18,3,33,3.5263605246161616,36,0,0.0,0,1,1,0,5
33,132902,6,4,2,12,2.5649493574615367,31,0,1.0527,0,1,2,0,0
34,132903,10,6,2,18,2.9444389791664403,31,1,3.9483,1,1,1,0,0
35,132905,11,7,1,19,2.995732273553991,11,0,0.0,0,0,2,0,0
36,132906,4,5,2,11,2.4849066497880004,20,0,0.0,0,1,2,0,0
37,132907,6,5,3,14,2.70805020110221,12,0,0.0,0,1,1,0,0
38,132908,3,2,2,7,2.0794415416798357,15,0,0.0,0,1,1,0,0
39,132909,11,20,3,34,3.5553480614894135,24,0,1.62,0,1,1,1,1
40,132910,12,19,2,33,3.5263605246161616,32,0,2.554166666666667,0,1,2,2,4
41,132911,10,25,2,37,3.6375861597263857,9,0,0.0,0,0,1,0,0
42,132912,4,8,0,12,2.5649493574615367,12,1,0.0,0,0,1,0,1
43,132913,15,22,4,41,3.7376696182833684,28,1,0.0,1,2,2,0,1
44,132914,14,16,2,32,3.4965075614664802,5,0,0.0,0,0,1,0,0
45,132915,5,7,1,13,2.6390573296152584,40,0,0.8631499999999999,0,1,2,0,1
46,132916,3,1,2,6,1.9459101490553132,15,0,0.0,1,1,2,0,1
47,132917,7,15,1,23,3.1780538303479458,23,1,-3.26,1,0,0,0,2
48,132918,10,7,2,19,2.995732273553991,36,0,2.7903,0,0,1,0,0
49,132919,9,5,2,16,2.833213344056216,30,1,0.0,0,0,1,0,0
50,132920,6,2,2,10,2.3978952727983707,38,1,0.0,0,0,0,0,0
51,132921,332,25,20,377,5.934894195619588,26,1,0.0,0,0,0,2,2
52,132922,23,27,4,54,4.007333185232471,7,1,0.0,1,0,1,0,0
53,132923,7,8,0,15,2.772588722239781,23,0,0.0,1,4,1,2,4
54,132924,6,9,1,16,2.833213344056216,25,0,0.0,0,2,2,0,1
