Variable,Label,N,Mean,SD,Min,Q1,Median,Q3,Max,Skewness,Kurtosis
engagement,Engagement (raw),624,53.806089743589745,222.84911844939865,0.0,2.0,6.0,26.25,2474.0,7.000107794799687,54.94894766447054
log_engagement,log(1+Engagement),624,2.1847777709796845,1.59740122710226,0.0,1.0986122886681098,1.9459101490553132,3.304928777047048,7.813995675002791,0.7996904175978661,0.7313472177858085
length,Text Length (words),624,25.830128205128204,12.111705439419909,1.0,15.75,26.0,36.0,53.0,-0.014473032793364322,-1.0174635636005254
question,Question Mark (0/1),624,0.19230769230769232,0.3944296671351375,0.0,0.0,0.0,0.0,1.0,1.5614401167176526,0.43809523809523787
valence,Emotional Valence,624,0.9604520833333331,1.638763421423997,-3.3519,0.0,0.0,2.505275,3.9483,0.07425465127815396,-0.24032691417421903
hashtag,Hashtag Count,624,0.17467948717948717,0.5344623254855859,0.0,0.0,0.0,0.0,3.0,3.4135912830331483,11.839837702557428
emoji,Emoji Count,624,0.483974358974359,0.9563840941050056,0.0,0.0,0.0,1.0,13.0,4.844191534905087,48.089973631765986
picture,Picture Count,624,0.3733974358974359,0.5551428856543262,0.0,0.0,0.0,1.0,4.0,1.609736330634968,4.823721265292701
url,URL Count,624,0.9951923076923077,0.72446978112338,0.0,0.0,1.0,2.0,2.0,0.007250520551135722,-1.0916468127047634
at_mention,At-Mention Count,624,0.09455128205128205,0.3659273808944083,0.0,0.0,0.0,0.0,3.0,4.485309964104722,22.530958132150786
